Branch ID,Branch Name,Customer ID,Balance in May,Salary in May,Salary in June,Sector,Digitally Active
9074,Gurgaon,907424573,452152,117559.52,Y,IT,Yes
9071,Mumbai Urban,907188750,659895,217765.35,Y,IT,Yes
9077,Chennai,907794785,157298,33032.58,Y,IT,No
9072,Mumbai Sub-urban,907293022,15810,3320.1,Y,IT,Yes
9074,Gurgaon,907455153,147278,22091.7,Y,IT,Yes
9078,Pune,907830740,266121,42579.36,Y,IT,Yes
9074,Gurgaon,907465707,640393,147290.39,Y,IT,No
9071,Mumbai Urban,907151975,153678,26125.26,Y,IT,Yes
9074,Gurgaon,907439142,650692,84589.96,Y,IT,No
9074,Gurgaon,907491456,440951,149923.34,Y,IT,Yes
9071,Mumbai Urban,907189523,483269,159478.77,Y,IT,Yes
9074,Gurgaon,907410048,882411,141185.76,Y,IT,No
9072,Mumbai Sub-urban,907259518,725822,159680.84,Y,IT,Yes
9071,Mumbai Urban,907190060,113734,23884.14,Y,IT,Yes
9079,Kolkata,907926361,489383,166390.22,Y,IT,Yes
9076,Hyderabad,907650333,978676,274029.28,Y,IT,No
9077,Chennai,907794964,315321,100902.72,Y,IT,Yes
9071,Mumbai Urban,907172785,949590,237397.5,Y,IT,No
9071,Mumbai Urban,907121622,215809,34529.44,Y,IT,Yes
9075,Bangalore,907564900,678821,156128.83,N,IT,Yes
9075,Bangalore,907548394,876283,210307.92,N,IT,No
9072,Mumbai Sub-urban,907243137,779089,179190.47,N,IT,Yes
9072,Mumbai Sub-urban,907291551,242156,43588.08,N,IT,Yes
9071,Mumbai Urban,907194282,163708,19644.96,N,IT,Yes
9077,Chennai,907751982,878685,298752.9,N,IT,No
9075,Bangalore,907593818,459259,87259.21,N,IT,Yes
9079,Kolkata,907982519,352737,56437.92,N,IT,No
9079,Kolkata,907976591,660579,171750.54,N,IT,Yes
9073,South Delhi,907324808,763635,106908.9,N,IT,Yes
9074,Gurgaon,907459358,398268,139393.8,N,IT,No
9078,Pune,907890208,110901,21071.19,N,IT,Yes
9071,Mumbai Urban,907168893,918865,312414.1,N,IT,Yes
9076,Hyderabad,907610095,245409,71168.61,N,IT,Yes
9075,Bangalore,907538863,611260,67238.6,N,IT,No
9071,Mumbai Urban,907172662,426782,98159.86,Y,IT,Yes
9074,Gurgaon,907428256,453913,59008.69,Y,IT,No
9079,Kolkata,907918490,57914,12741.08,Y,IT,Yes
9077,Chennai,907777090,796958,175330.76,Y,IT,Yes
9075,Bangalore,907579636,695263,83431.56,Y,IT,No
9077,Chennai,907711617,317952,111283.2,Y,IT,Yes
9073,South Delhi,907326408,804293,168901.53,Y,IT,Yes
9074,Gurgaon,907444633,955122,200575.62,Y,IT,Yes
9072,Mumbai Sub-urban,907237957,631113,75733.56,Y,IT,No
9077,Chennai,907767087,754779,128312.43,Y,IT,Yes
9075,Bangalore,907538391,895606,277637.86,Y,IT,No
9075,Bangalore,907559459,856437,282624.21,Y,IT,Yes
9079,Kolkata,907987139,6120,1468.8,Y,IT,Yes
9075,Bangalore,907521702,566012,158483.36,Y,IT,No
9075,Bangalore,907512611,569637,170891.1,Y,IT,Yes
9071,Mumbai Urban,907143636,139223,22275.68,Y,IT,Yes
9076,Hyderabad,907661117,708701,205523.29,Y,IT,Yes
9072,Mumbai Sub-urban,907237593,128292,30790.08,Y,IT,No
9071,Mumbai Urban,907140817,236001,28320.12,Y,IT,Yes
9071,Mumbai Urban,907126216,618481,148435.44,Y,IT,No
9072,Mumbai Sub-urban,907211480,708718,198441.04,Y,IT,Yes
9072,Mumbai Sub-urban,907285902,245503,36825.45,Y,IT,Yes
9077,Chennai,907762393,350995,45629.35,Y,IT,No
9077,Chennai,907729412,926623,101928.53,Y,IT,Yes
9073,South Delhi,907381758,546313,158430.77,Y,IT,Yes
9072,Mumbai Sub-urban,907246737,505984,86017.28,Y,IT,Yes
9076,Hyderabad,907649713,70409,9153.17,Y,IT,No
9075,Bangalore,907562396,210799,52699.75,Y,IT,Yes
9074,Gurgaon,907451276,644115,109499.55,Y,IT,No
9078,Pune,907822833,134332,18806.48,Y,IT,Yes
9074,Gurgaon,907456347,504305,176506.75,Y,IT,Yes
9073,South Delhi,907383092,868968,252000.72,Y,IT,No
9078,Pune,907854786,925604,314705.36,Y,IT,Yes
9071,Mumbai Urban,907183360,289209,43381.35,Y,IT,Yes
9076,Hyderabad,907694130,543579,168509.49,Y,IT,Yes
9073,South Delhi,907371599,888102,177620.4,Y,IT,No
9076,Hyderabad,907630716,809951,161990.2,Y,IT,Yes
9076,Hyderabad,907693771,225644,33846.6,Y,IT,No
9078,Pune,907879955,17816,2137.92,Y,IT,Yes
9077,Chennai,907750641,756513,173997.99,Y,IT,Yes
9072,Mumbai Sub-urban,907241627,498421,174447.35,Y,IT,No
9076,Hyderabad,907642961,412902,49548.24,Y,IT,Yes
9075,Bangalore,907583597,720233,180058.25,Y,IT,Yes
9072,Mumbai Sub-urban,907245643,128818,18034.52,Y,IT,Yes
9078,Pune,907896477,895015,295354.95,Y,IT,No
9079,Kolkata,907960471,211261,73941.35,Y,IT,Yes
9073,South Delhi,907341189,46249,5549.88,Y,IT,No
9075,Bangalore,907594835,126802,24092.38,Y,IT,Yes
9071,Mumbai Urban,907139356,728136,72813.6,Y,IT,Yes
9077,Chennai,907776983,190537,24769.81,Y,IT,No
9074,Gurgaon,907467924,140117,44837.44,Y,IT,Yes
9077,Chennai,907739419,861276,146416.92,Y,IT,Yes
9079,Kolkata,907961985,649224,71414.64,Y,IT,Yes
9074,Gurgaon,907454672,346753,104025.9,Y,IT,No
9075,Bangalore,907546733,514927,108134.67,Y,IT,Yes
9079,Kolkata,907925455,466875,144731.25,Y,IT,No
9078,Pune,907884377,321590,45022.6,Y,IT,Yes
9078,Pune,907886096,44249,7079.84,Y,IT,Yes
9071,Mumbai Urban,907185483,899796,305930.64,Y,IT,No
9075,Bangalore,907597288,194684,52564.68,Y,IT,Yes
9073,South Delhi,907394836,528190,179584.6,Y,IT,Yes
9071,Mumbai Urban,907115285,249751,29970.12,Y,IT,Yes
9072,Mumbai Sub-urban,907290312,363470,112675.7,Y,IT,No
9073,South Delhi,907371847,483231,115975.44,Y,IT,Yes
9077,Chennai,907791828,892501,98175.11,Y,IT,No
9073,South Delhi,907349054,796892,239067.6,Y,IT,Yes
9071,Mumbai Urban,907158593,177613,26641.95,Y,IT,Yes
9078,Pune,907841632,371410,85424.3,Y,IT,No
9077,Chennai,907771391,205745,51436.25,Y,IT,Yes
9075,Bangalore,907585767,877974,219493.5,Y,IT,Yes
9078,Pune,907876864,587121,140909.04,Y,IT,Yes
9071,Mumbai Urban,907120233,984241,206690.61,Y,IT,No
9079,Kolkata,907953286,873370,235809.9,Y,IT,Yes
9077,Chennai,907749431,59216,10066.72,Y,IT,No
9076,Hyderabad,907678635,506035,111327.7,Y,IT,Yes
9077,Chennai,907721819,502429,145704.41,Y,IT,Yes
9073,South Delhi,907380986,798953,191748.72,Y,IT,No
9078,Pune,907823101,314388,62877.6,Y,IT,Yes
9078,Pune,907895475,823171,90548.81,Y,IT,Yes
9078,Pune,907820629,72915,25520.25,Y,IT,Yes
9077,Chennai,907730864,991141,188316.79,Y,Tax and Audit,No
9079,Kolkata,907975625,956495,95649.5,Y,Tax and Audit,Yes
9073,South Delhi,907338964,672424,73966.64,Y,Tax and Audit,No
9075,Bangalore,907516564,807319,282561.65,N,Tax and Audit,Yes
9073,South Delhi,907358544,157811,18937.32,N,Tax and Audit,Yes
9071,Mumbai Urban,907183480,816391,236753.39,Y,Tax and Audit,No
9072,Mumbai Sub-urban,907291357,424751,89197.71,N,Tax and Audit,Yes
9074,Gurgaon,907479607,710726,120823.42,N,Tax and Audit,Yes
9073,South Delhi,907359701,424138,144206.92,N,Tax and Audit,Yes
9073,South Delhi,907343084,633147,63314.7,Y,Tax and Audit,No
9072,Mumbai Sub-urban,907256829,72443,13039.74,N,Tax and Audit,Yes
9072,Mumbai Sub-urban,907285270,899985,206996.55,Y,Tax and Audit,No
9072,Mumbai Sub-urban,907295216,35141,8082.43,N,Tax and Audit,Yes
9073,South Delhi,907310040,958893,163011.81,N,Tax and Audit,Yes
9078,Pune,907865429,44491,12012.57,Y,Tax and Audit,No
9079,Kolkata,907928099,9205,2853.55,N,Tax and Audit,Yes
9074,Gurgaon,907450781,219768,28569.84,N,Tax and Audit,Yes
9073,South Delhi,907360198,110233,27558.25,N,Tax and Audit,Yes
9077,Chennai,907735198,965476,222059.48,N,Tax and Audit,No
9077,Chennai,907781646,494594,74189.1,N,Tax and Audit,Yes
9077,Chennai,907740193,961565,336547.75,Y,Tax and Audit,No
9079,Kolkata,907976898,576043,190094.19,Y,Tax and Audit,Yes
9072,Mumbai Sub-urban,907251285,354940,49691.6,Y,Tax and Audit,Yes
9075,Bangalore,907538176,308883,37065.96,Y,Tax and Audit,No
9077,Chennai,907712335,678723,149319.06,Y,Tax and Audit,Yes
9077,Chennai,907789735,733155,175957.2,Y,Tax and Audit,Yes
9072,Mumbai Sub-urban,907239185,159352,19122.24,Y,Tax and Audit,Yes
9071,Mumbai Urban,907169915,112496,30373.92,Y,Tax and Audit,No
9071,Mumbai Urban,907155853,337129,74168.38,Y,Tax and Audit,Yes
9072,Mumbai Sub-urban,907242280,810680,243204,Y,Tax and Audit,No
9074,Gurgaon,907447621,669773,113861.41,Y,Tax and Audit,Yes
9077,Chennai,907760860,370803,44496.36,Y,Tax and Audit,Yes
9077,Chennai,907750388,914193,164554.74,Y,Tax and Audit,No
9072,Mumbai Sub-urban,907277105,945753,170235.54,Y,Tax and Audit,Yes
9072,Mumbai Sub-urban,907286888,257478,61794.72,Y,Tax and Audit,Yes
9072,Mumbai Sub-urban,907215572,859058,274898.56,Y,Tax and Audit,Yes
9079,Kolkata,907973690,858527,248972.83,Y,Tax and Audit,No
9076,Hyderabad,907668275,25499,3314.87,Y,Tax and Audit,Yes
9074,Gurgaon,907432405,245559,68756.52,Y,Tax and Audit,No
9071,Mumbai Urban,907169052,622493,74699.16,Y,Tax and Audit,Yes
9072,Mumbai Sub-urban,907228212,160127,35227.94,Y,Tax and Audit,Yes
9076,Hyderabad,907678094,417903,41790.3,Y,Facility Management,No
9075,Bangalore,907516040,35894,11486.08,Y,Facility Management,Yes
9074,Gurgaon,907480994,418017,104504.25,Y,Facility Management,Yes
9074,Gurgaon,907480675,894425,107331,Y,Facility Management,Yes
9078,Pune,907864205,434059,73790.03,Y,Facility Management,No
9073,South Delhi,907389782,263018,49973.42,Y,Facility Management,Yes
9076,Hyderabad,907687890,847588,262752.28,Y,Facility Management,No
9079,Kolkata,907941489,760952,220676.08,Y,Facility Management,Yes
9077,Chennai,907778006,727137,72713.7,Y,Facility Management,Yes
9071,Mumbai Urban,907132921,329624,88998.48,Y,Facility Management,No
9074,Gurgaon,907424845,490993,108018.46,Y,Facility Management,Yes
9077,Chennai,907788589,334545,56872.65,Y,Facility Management,Yes
9079,Kolkata,907924611,684848,219151.36,Y,Facility Management,Yes
9076,Hyderabad,907653272,927851,139177.65,Y,Marketing,No
9077,Chennai,907737643,954009,305282.88,Y,Marketing,Yes
9075,Bangalore,907579758,581046,116209.2,Y,Marketing,No
9077,Chennai,907738108,6446,837.98,Y,Marketing,Yes
9073,South Delhi,907391546,787332,149593.08,Y,Marketing,Yes
9072,Mumbai Sub-urban,907292452,684841,219149.12,Y,Marketing,No
9076,Hyderabad,907674519,8760,1927.2,Y,Marketing,Yes
9072,Mumbai Sub-urban,907251026,527564,174096.12,Y,Marketing,Yes
9076,Hyderabad,907619118,445992,71358.72,Y,Marketing,Yes
9073,South Delhi,907310808,209674,52418.5,Y,Marketing,No
9074,Gurgaon,907468836,847945,237424.6,Y,Marketing,Yes
9078,Pune,907888726,32730,9819,Y,Marketing,No
9074,Gurgaon,907470383,288835,75097.1,Y,Marketing,Yes
9076,Hyderabad,907639596,105329,31598.7,Y,Marketing,Yes
9079,Kolkata,907962734,415201,137016.33,Y,Marketing,No
9074,Gurgaon,907472701,889641,88964.1,Y,Marketing,Yes
9072,Mumbai Sub-urban,907259269,46933,7978.61,Y,Marketing,Yes
9075,Bangalore,907562872,929648,251004.96,Y,Marketing,Yes
9077,Chennai,907745540,697297,139459.4,Y,Marketing,No
9079,Kolkata,907983059,651643,123812.17,Y,Marketing,Yes
9076,Hyderabad,907643579,807919,96950.28,Y,Marketing,No
9076,Hyderabad,907632698,734897,80838.67,Y,Marketing,Yes
9077,Chennai,907763823,432665,116819.55,Y,Marketing,Yes
9072,Mumbai Sub-urban,907272186,113651,13638.12,Y,Marketing,No
9074,Gurgaon,907448417,647340,168308.4,Y,Marketing,Yes
9071,Mumbai Urban,907149889,979768,117572.16,Y,Marketing,Yes
9076,Hyderabad,907660536,627502,181975.58,Y,Marketing,Yes
9073,South Delhi,907322730,732437,146487.4,Y,Marketing,No
9075,Bangalore,907523211,794695,190726.8,Y,Marketing,Yes
9076,Hyderabad,907687478,473210,160891.4,Y,Marketing,No
9074,Gurgaon,907486411,300565,102192.1,Y,Marketing,Yes
9075,Bangalore,907513626,58400,11096,Y,Marketing,Yes
9073,South Delhi,907392603,76633,18391.92,Y,Marketing,No
9077,Chennai,907718205,627277,194455.87,Y,Marketing,Yes
9076,Hyderabad,907663421,593367,71204.04,Y,Marketing,Yes
9076,Hyderabad,907698392,720429,180107.25,Y,Marketing,Yes
9076,Hyderabad,907647699,243468,53562.96,Y,Marketing,No
9079,Kolkata,907957861,947186,322043.24,Y,Marketing,Yes
9079,Kolkata,907996445,786323,149401.37,Y,Marketing,No
9078,Pune,907872499,456159,82108.62,Y,Marketing,Yes
9073,South Delhi,907325684,831092,174529.32,Y,Marketing,Yes
9074,Gurgaon,907425794,473184,156150.72,Y,Marketing,No
9073,South Delhi,907360442,305935,88721.15,Y,Marketing,Yes
9071,Mumbai Urban,907151475,920357,294514.24,Y,Marketing,Yes
9071,Mumbai Urban,907191564,147332,30939.72,Y,Marketing,Yes
9074,Gurgaon,907419461,377982,83156.04,Y,Marketing,No
9074,Gurgaon,907441481,436412,152744.2,Y,Marketing,Yes
9075,Bangalore,907527599,842913,143295.21,Y,Marketing,No
9079,Kolkata,907953850,555942,155663.76,Y,Marketing,Yes
9079,Kolkata,907970653,773858,147033.02,Y,Marketing,Yes
9075,Bangalore,907534321,444632,97819.04,Y,Marketing,No
9079,Kolkata,907970425,232623,51177.06,Y,Marketing,Yes
9078,Pune,907888304,902505,144400.8,Y,Marketing,Yes
9072,Mumbai Sub-urban,907265405,396351,43598.61,Y,Marketing,Yes
9071,Mumbai Urban,907160141,647260,97089,Y,Marketing,No
9078,Pune,907826677,181193,59793.69,Y,Marketing,Yes
9078,Pune,907873091,110059,12106.49,Y,Marketing,No
9079,Kolkata,907917504,25975,5974.25,Y,Marketing,Yes
9075,Bangalore,907534862,291381,34965.72,Y,Marketing,Yes
9071,Mumbai Urban,907147340,696107,201871.03,Y,Marketing,No
9076,Hyderabad,907692719,882747,185376.87,Y,Marketing,Yes
9076,Hyderabad,907670532,957055,258404.85,Y,Marketing,Yes
9072,Mumbai Sub-urban,907244011,848411,220586.86,Y,Marketing,Yes
9073,South Delhi,907382270,730872,226570.32,Y,Marketing,No
9073,South Delhi,907317168,80113,15221.47,Y,Marketing,Yes
9079,Kolkata,907927012,563913,124060.86,Y,Marketing,No
9074,Gurgaon,907419799,956065,267698.2,Y,Marketing,Yes
9071,Mumbai Urban,907113036,27435,3292.2,Y,Marketing,Yes
9079,Kolkata,907952038,873429,148482.93,Y,Marketing,No
9077,Chennai,907790138,636667,63666.7,Y,Marketing,Yes
9074,Gurgaon,907460639,851364,238381.92,Y,Marketing,Yes
9071,Mumbai Urban,907139615,599525,107914.5,Y,Marketing,Yes
9074,Gurgaon,907462620,601855,162500.85,Y,Marketing,No
9077,Chennai,907786956,150310,16534.1,Y,Marketing,Yes
9076,Hyderabad,907654914,890610,204840.3,Y,Marketing,No
9079,Kolkata,907922438,799445,151894.55,Y,Marketing,Yes
9076,Hyderabad,907639552,80284,24085.2,Y,Marketing,Yes
9075,Bangalore,907595441,854111,196445.53,Y,Marketing,No
9074,Gurgaon,907440041,381900,53466,Y,Marketing,Yes
9074,Gurgaon,907432556,778594,186862.56,Y,Marketing,Yes
9073,South Delhi,907396920,427187,149515.45,Y,Marketing,Yes
9079,Kolkata,907989681,659114,145005.08,Y,Marketing,No
9072,Mumbai Sub-urban,907214903,215120,68838.4,Y,Marketing,Yes
9075,Bangalore,907511313,193940,27151.6,Y,Marketing,No
9071,Mumbai Urban,907127359,336411,80738.64,Y,Marketing,Yes
9076,Hyderabad,907689903,974187,136386.18,Y,Marketing,Yes
9072,Mumbai Sub-urban,907223449,187037,31796.29,Y,Marketing,No
9073,South Delhi,907328952,489237,127201.62,Y,Marketing,Yes
9077,Chennai,907736296,355578,110229.18,Y,IT,Yes
9072,Mumbai Sub-urban,907297574,563656,180369.92,Y,IT,Yes
9077,Chennai,907755164,429901,73083.17,Y,IT,No
9074,Gurgaon,907461822,1291,180.74,Y,IT,Yes
9079,Kolkata,907969559,416065,54088.45,Y,IT,No
9079,Kolkata,907935816,51361,14381.08,Y,IT,Yes
9071,Mumbai Urban,907131110,13693,2190.88,Y,IT,Yes
9071,Mumbai Urban,907197490,465059,144168.29,Y,IT,No
9077,Chennai,907752931,909790,154664.3,Y,IT,Yes
9077,Chennai,907725812,949638,322876.92,Y,IT,Yes
9078,Pune,907849896,507429,81188.64,Y,IT,Yes
9072,Mumbai Sub-urban,907255987,533623,96052.14,Y,IT,No
9074,Gurgaon,907432377,35631,8907.75,Y,IT,Yes
9077,Chennai,907778492,905178,298708.74,Y,IT,No
9077,Chennai,907752603,263786,47481.48,Y,IT,Yes
9074,Gurgaon,907478427,281618,36610.34,Y,IT,Yes
9074,Gurgaon,907446180,555648,105573.12,Y,IT,No
9078,Pune,907823194,945844,312128.52,Y,IT,Yes
9077,Chennai,907733919,979382,205670.22,Y,IT,Yes
9079,Kolkata,907929330,792831,79283.1,Y,IT,Yes
9073,South Delhi,907376799,764487,122317.92,Y,IT,No
9079,Kolkata,907938292,643525,205928,Y,IT,Yes
9072,Mumbai Sub-urban,907223821,729839,226250.09,Y,IT,No
9072,Mumbai Sub-urban,907284924,906851,117890.63,Y,IT,Yes
9079,Kolkata,907973575,84268,16010.92,Y,IT,Yes
9074,Gurgaon,907455822,322422,58035.96,Y,IT,No
9079,Kolkata,907996813,640085,64008.5,Y,IT,Yes
9078,Pune,907895767,676571,189439.88,Y,IT,Yes
9074,Gurgaon,907483649,759075,204950.25,Y,IT,Yes
9076,Hyderabad,907695778,901300,162234,Y,IT,No
9076,Hyderabad,907629112,773197,162371.37,Y,IT,Yes
9077,Chennai,907756795,948813,246691.38,Y,IT,No
9076,Hyderabad,907673355,989628,118755.36,Y,IT,Yes
9078,Pune,907854069,12156,2188.08,Y,IT,Yes
9075,Bangalore,907597371,445599,155959.65,Y,IT,No
9078,Pune,907848522,610469,73256.28,Y,IT,Yes
9078,Pune,907843313,171278,23978.92,Y,IT,Yes
9074,Gurgaon,907462583,530502,100795.38,Y,IT,Yes
9071,Mumbai Urban,907179695,84076,16815.2,Y,IT,No
9075,Bangalore,907517206,686279,102941.85,Y,IT,Yes
9074,Gurgaon,907423347,489533,107697.26,Y,IT,No
9077,Chennai,907742584,131118,28845.96,Y,IT,Yes
9076,Hyderabad,907676881,264837,55615.77,Y,IT,Yes
9072,Mumbai Sub-urban,907227582,603156,180946.8,Y,IT,No
9072,Mumbai Sub-urban,907297935,767478,153495.6,Y,IT,Yes
9077,Chennai,907720414,554283,127485.09,Y,IT,Yes
9071,Mumbai Urban,907187020,183380,27507,Y,IT,Yes
9078,Pune,907864894,920933,138139.95,Y,IT,No
9074,Gurgaon,907483649,677151,196373.79,Y,IT,Yes
9074,Gurgaon,907447351,987476,118497.12,Y,IT,No
9074,Gurgaon,907480192,605060,187568.6,Y,IT,Yes
9072,Mumbai Sub-urban,907243378,752932,225879.6,Y,IT,Yes
9074,Gurgaon,907467394,894012,268203.6,Y,IT,No
9079,Kolkata,907939047,999408,219869.76,Y,IT,Yes
9072,Mumbai Sub-urban,907284311,207436,45635.92,Y,IT,Yes
9075,Bangalore,907578722,692210,103831.5,Y,IT,Yes
9071,Mumbai Urban,907198662,678572,203571.6,Y,IT,No
9071,Mumbai Urban,907154996,852995,298548.25,Y,IT,Yes
9077,Chennai,907766328,99599,24899.75,Y,IT,No
9077,Chennai,907713996,719914,143982.8,Y,IT,Yes
9072,Mumbai Sub-urban,907284250,286604,60186.84,Y,IT,Yes
9071,Mumbai Urban,907154753,178855,42925.2,Y,IT,No
9073,South Delhi,907377441,548851,93304.67,Y,IT,Yes
9075,Bangalore,907573145,712397,192347.19,Y,IT,Yes
9071,Mumbai Urban,907186274,35820,4298.4,Y,IT,Yes
9077,Chennai,907761922,410332,65653.12,Y,IT,No
9073,South Delhi,907312143,4433,576.29,Y,IT,Yes
9074,Gurgaon,907455885,695965,139193,Y,IT,No
9076,Hyderabad,907633564,21024,5045.76,Y,IT,Yes
9074,Gurgaon,907416239,637393,178470.04,Y,IT,Yes
